n=0:	r=(0,0),R=0
n=1:	r=(0,1),R=1.0
n=2:	r=(1,1),R=1.41421356237
n=3:	r=(0,1),R=1.0
n=4:	r=(0,0),R=0.0
n=5:	r=(1,0),R=1.0
n=6:	r=(1,-1),R=1.41421356237
n=7:	r=(0,-1),R=1.0
n=8:	r=(0,-2),R=2.0
n=9:	r=(0,-3),R=3.0
n=10:	r=(-1,-3),R=3.16227766017
n=11:	r=(-1,-2),R=2.2360679775
n=12:	r=(-1,-3),R=3.16227766017
n=13:	r=(-1,-2),R=2.2360679775
n=14:	r=(-1,-3),R=3.16227766017
n=15:	r=(0,-3),R=3.0
n=16:	r=(-1,-3),R=3.16227766017
n=17:	r=(-1,-4),R=4.12310562562
n=18:	r=(-1,-3),R=3.16227766017
n=19:	r=(0,-3),R=3.0
n=20:	r=(-1,-3),R=3.16227766017
n=21:	r=(-1,-4),R=4.12310562562
n=22:	r=(0,-4),R=4.0
n=23:	r=(1,-4),R=4.12310562562
n=24:	r=(2,-4),R=4.472135955
n=25:	r=(2,-3),R=3.60555127546
n=26:	r=(2,-4),R=4.472135955
n=27:	r=(2,-5),R=5.38516480713
n=28:	r=(1,-5),R=5.09901951359
n=29:	r=(1,-6),R=6.0827625303
n=30:	r=(0,-6),R=6.0
n=31:	r=(1,-6),R=6.0827625303
n=32:	r=(1,-5),R=5.09901951359
n=33:	r=(2,-5),R=5.38516480713
n=34:	r=(2,-6),R=6.32455532034
n=35:	r=(2,-5),R=5.38516480713
n=36:	r=(1,-5),R=5.09901951359
n=37:	r=(0,-5),R=5.0
n=38:	r=(-1,-5),R=5.09901951359
n=39:	r=(-2,-5),R=5.38516480713
n=40:	r=(-2,-4),R=4.472135955
n=41:	r=(-3,-4),R=5.0
n=42:	r=(-2,-4),R=4.472135955
n=43:	r=(-1,-4),R=4.12310562562
n=44:	r=(-2,-4),R=4.472135955
n=45:	r=(-1,-4),R=4.12310562562
n=46:	r=(-1,-5),R=5.09901951359
n=47:	r=(-2,-5),R=5.38516480713
n=48:	r=(-3,-5),R=5.83095189485
n=49:	r=(-3,-4),R=5.0
n=50:	r=(-2,-4),R=4.472135955
